Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore,individuals,individuals_plot,total_individuals_subplot,total_individuals_plot,prop_individuals_sub,prop_individuals_plot,prop_indiviudals_sub,prop_indiviudals_plot
3,F5,LEMA,128,2,1,Small_flies,4,0,0,1.29960317460317,0.299603174603175,1,6,3,3,0.0622767097210791,0.499852930700532,0,0.211755878878747,0.333333333333333,4,40,539,484,14234,0.08264462809917356,0.0378697393381578,0.08264462809917356,0.002810172825628776
3,F5,LEMA,128,2,1,Bees,1,0,0,1.29960317460317,0.299603174603175,1,6,3,3,0.0622767097210791,0.499852930700532,0,0.211755878878747,0.333333333333333,4,40,539,484,14234,0.08264462809917356,0.0378697393381578,0.08264462809917356,0.002810172825628776
3,F5,LEMA,128,2,1,Flower_beetles,18,0,0,1.29960317460317,0.299603174603175,1,6,3,3,0.0622767097210791,0.499852930700532,0,0.211755878878747,0.333333333333333,4,40,539,484,14234,0.08264462809917356,0.0378697393381578,0.08264462809917356,0.002810172825628776
3,F6,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,424,14234,0.0047169811320754715,0.007236703435677651,0.0047169811320754715,1.405086412814388e-4
3,F6,LEMA,128,2,1,Flower_beetles,18,0,0,1.01587301587302,0.0158730158730159,1,2,1,1,0.0385230751379062,0.967932277926281,0,0.258043974853247,0.333333333333333,2,30,539,424,14234,0.07075471698113207,0.0378697393381578,0.07075471698113207,0.002107629619221582
4,A1,CHFU,152,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,214,387,14045,0.01808785529715762,0.015237823981771575,0.01808785529715762,4.983980064079744e-4
4,A1,LEMA,128,2,1,Flower_beetles,3,0,0,1.13090909090909,0.130909090909091,1,4,2,2,0.0875230552330487,0.594281023607764,0,0.133216647838547,0.333333333333333,4,4,424,387,14045,0.0103359173126615,0.030190828823696954,0.0103359173126615,2.8479886080455676e-4
4,A1,LEMA,128,2,1,Small_flies,2,0,0,1.13090909090909,0.130909090909091,1,4,2,2,0.0875230552330487,0.594281023607764,0,0.133216647838547,0.333333333333333,4,4,424,387,14045,0.0103359173126615,0.030190828823696954,0.0103359173126615,2.8479886080455676e-4
4,A2,CHFU,380,5,1,Bees,0,2,0,2.15384615384615,1.15384615384615,1,4,2,2,0.146177768441791,0,0.0101978833167429,0.162836193564938,0.333333333333333,2,20,214,427,14045,0.0468384074941452,0.015237823981771575,0.0468384074941452,0.001423994304022784
4,A2,CHFU,380,5,2,Small_flies,8,0,0,2.15384615384615,1.15384615384615,1,4,2,2,0.146177768441791,0,0.0101978833167429,0.162836193564938,0.333333333333333,2,20,214,427,14045,0.0468384074941452,0.015237823981771575,0.0468384074941452,0.001423994304022784
4,A2,LEMA,192,3,1,Small_beetles,2,0,0,1.88233766233766,0.882337662337662,1,8,4,4,0.188954841047663,0.390621577548395,0,0.100164258268112,0.333333333333333,6,20,424,427,14045,0.0468384074941452,0.030190828823696954,0.0468384074941452,0.001423994304022784
4,A2,LEMA,192,3,2,Flower_beetles,3,0,0,1.88233766233766,0.882337662337662,1,8,4,4,0.188954841047663,0.390621577548395,0,0.100164258268112,0.333333333333333,6,20,424,427,14045,0.0468384074941452,0.030190828823696954,0.0468384074941452,0.001423994304022784
4,A2,LEMA,192,3,1,Hoverflies,2,0,0,1.88233766233766,0.882337662337662,1,8,4,4,0.188954841047663,0.390621577548395,0,0.100164258268112,0.333333333333333,6,20,424,427,14045,0.0468384074941452,0.030190828823696954,0.0468384074941452,0.001423994304022784
4,A2,LEMA,192,3,1,Flower_beetles,4,0,0,1.88233766233766,0.882337662337662,1,8,4,4,0.188954841047663,0.390621577548395,0,0.100164258268112,0.333333333333333,6,20,424,427,14045,0.0468384074941452,0.030190828823696954,0.0468384074941452,0.001423994304022784
