"","Bees","Butterflies","Flower_beetles","House_flies","Hoverflies","Humbleflies","Small_beetles","Small_flies"
"E2 PUPA 10",0,0,0,0,0,0.08,0,0
"E2 PUPA 11",0,0,0,0,0,0.08,0,0
"E2 PUPA 12",0,0,0,0,0,0.08,0,0
"E2 PUPA 13",0,0,0,0,0,0.08,0,0
"E2 PUPA 14",0,0,0,0,0,0.08,0,0
"E2 PUPA 15",0,0,0,0,0,0.08,0,0
"E2 PUPA 16",0,0,0,0,0,0.08,0,0
"E2 PUPA 17",0,0,0,0,0,0.08,0,0
"E2 PUPA 18",0,0,0,0,0,0.08,0,0
"E2 PUPA 19",0,0,0,0,0,0.08,0,0
"E2 PUPA 2",0,0,0,0,0,0.08,0,0
"E2 PUPA 20",0,0,0,0,0,0.08,0,0
"E2 PUPA 21",0,0,0,0,0,0.08,0,0
"E2 PUPA 22",0,0,0,0,0,0.08,0,0
"E2 PUPA 23",0,0,0,0,0,0.08,0,0
"E2 PUPA 24",0,0,0,0,0,0.08,0,0
"E2 PUPA 25",0,0,0,0,0,0.08,0,0
"E2 PUPA 3",0,0,0,0,0,0.08,0,0
"E2 PUPA 4",0,0,0,0,0,0.08,0,0
"E2 PUPA 5",0,0,0,0,0,0.08,0,0
"E2 PUPA 6",0,0,0,0,0,0.08,0,0
"E2 PUPA 7",0,0,0,0,0,0.08,0,0
"E2 PUPA 8",0,0,0,0,0,0.08,0,0
"E2 PUPA 9",0,0,0,0,0,0.08,0,0
"E3 PUPA 1",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 10",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 11",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 12",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 13",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 14",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 15",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 16",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 17",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 18",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 19",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 2",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 20",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 21",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 22",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 23",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 24",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 25",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 26",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 27",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 28",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 29",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 3",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 30",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 4",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 5",0,0.0333333333333333,0,0,0,0.1,0,0
"E3 PUPA 6",0,0.0333333333333333,0,0,0,0.1,0,0
