year,plot,subplot,focal,fruit,seed
2019,3,E6,PAIN,1,1
2019,3,E6,SASO,25,50
2019,3,F1,CHFU,1,84
2019,3,F1,HOMA,1,12
2019,3,F1,LEMA,2,96
2019,3,F1,PAIN,1,1
2019,3,F2,CHFU,2,168
2019,3,F2,HOMA,1,12
2019,3,F2,LEMA,2,96
2019,3,F2,PAIN,1,1
2019,3,F3,CHFU,0,0
2019,3,F3,HOMA,1,12
2019,3,F3,LEMA,1,48
2019,3,F3,PAIN,1,1
2019,3,F4,CHFU,4,336
2019,3,F4,HOMA,1,12
2019,3,F4,LEMA,3,144
2019,3,F4,PAIN,1,1
2019,3,F4,SASO,10,20
2019,3,F5,CHFU,2,168
2019,3,F5,HOMA,1,12
2019,3,F5,LEMA,2,96
2019,3,F5,PAIN,1,1
2019,3,F6,CHFU,1,84
2019,3,F6,HOMA,1,12
2019,3,F6,LEMA,2,96
2019,3,F6,PAIN,1,1
2019,3,F6,SASO,10,20
2019,4,A1,CHFU,2,168
2019,4,A1,HOMA,1,12
2019,4,A1,LEMA,2,96
2019,4,A1,PAIN,1,1
2019,4,A1,POMA,1,86
2019,4,A2,CHFU,5,420
2019,4,A2,HOMA,1,12
2019,4,A2,LEMA,3,144
2019,4,A2,PAIN,1,1
2019,4,A2,POMA,1,86
2019,4,A3,BEMA,6,24
2019,4,A3,CETE,15,5070
2019,4,A3,CHFU,2,168
2019,4,A3,HOMA,1,12
2019,4,A3,LEMA,7,336
2019,4,A3,PLCO,1,22
2019,4,A3,POMA,1,86
2019,4,A3,SPRU,40,3360
2019,4,A3,SPRU,50,4200
2019,4,A4,BEMA,4,16
2019,4,A4,CHFU,10,840
2019,4,A4,HOMA,1,12
2019,4,A4,LEMA,3,144
2019,4,A4,POMA,1,86
2019,4,A5,CHFU,5,420
2019,4,A5,HOMA,1,12
2019,4,A5,LEMA,3,144
2019,4,A5,PAIN,1,1
2019,4,A5,POMA,1,86
2019,4,A6,CHFU,3,252
2019,4,A6,HOMA,1,12
