node_to,layer_to,module_from,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
C1 MESU,MESU,13,8,1,1.171875,0.23593232610221093,-0.7284927963857741,1,0,1
C1 SCLA,SCLA,1,8,1,1.0726939237233355,3.396586123640746,-0.02140205520401056,1,0,1
C2 CHFU,CHFU,2,8,0.08196721311475409,0.9578045126035608,4.228403763591607,-0.20713189857367603,0.08196721311475409,0,1
C2 LEMA,LEMA,1,8,0.0196078431372549,1.0726939237233355,3.396586123640746,-0.3100425080513768,0.0196078431372549,0,1
C3 CHFU,CHFU,2,8,1.0327868852459017,0.9578045126035608,4.228403763591607,0.017733020977791114,1.0327868852459017,0,1
C3 LEMA,LEMA,3,8,0.058823529411764705,1.371080830933772,1.94423801140882,-0.6749468397498971,0.058823529411764705,0,1
C4 CHFU,CHFU,7,8,0.2,1.0199675324675326,0.8938485100363126,-0.9173450794634332,0.45,0.308641975308642,0.691358024691358
C4 LEMA,LEMA,8,8,1,1.0746212121212122,0.6509031877518561,-0.11464256670634106,1.1176470588235294,0.005540166204986149,0.9944598337950139
C5 CHFU,CHFU,2,8,0.03278688524590164,0.9578045126035608,4.228403763591607,-0.21876284268840707,0.23278688524590166,0.7381471930172584,0.2618528069827416
C5 LEMA,LEMA,1,8,0.0392156862745098,1.0726939237233355,3.396586123640746,-0.3042696989944294,0.09803921568627451,0.36,0.64
C6 CHFU,CHFU,2,8,1.0655737704918034,0.9578045126035608,4.228403763591607,0.025486983720945162,1.8155737704918034,0.17064545551824464,0.8293545444817554
C6 LEMA,LEMA,1,8,0.0196078431372549,1.0726939237233355,3.396586123640746,-0.3100425080513768,0.0196078431372549,0,1
C6 SCLA,SCLA,6,8,0.5,1.0875,0.810253304014656,-0.7250818936362808,1,0.25,0.75
Cryptocephalus_sp LEMA,LEMA,16,8,0.3333333333333333,0.6666666666666666,0.4714045207910317,-0.7071067811865475,0.3333333333333333,0,1
Cylindromyia_sp LEMA,LEMA,13,8,1.5,1.171875,0.23593232610221093,1.390758974918296,1.5,0,1
Cylindromyia_sp MESU,MESU,13,8,1.1875,1.171875,0.23593232610221093,0.06622661785325219,1.1875,0,1
D1 CHFU,CHFU,2,8,0.03278688524590164,0.9578045126035608,4.228403763591607,-0.21876284268840707,0.23278688524590166,0.7381471930172584,0.2618528069827416
D1 LEMA,LEMA,5,8,1,1.2599431818181819,0.3446254192306334,-0.7542774482465564,2.269607843137255,0.20634046900438036,0.7936595309956196
D2 CHFU,CHFU,7,8,0.2,1.0199675324675326,0.8938485100363126,-0.9173450794634332,0.2,0,1
D2 LEMA,LEMA,13,8,1,1.171875,0.23593232610221093,-0.7284927963857741,1.0196078431372548,3.6982248520710064e-4,0.9996301775147929
D2 PUPA,PUPA,4,8,0.1111111111111111,1.2605555555555554,1.3942683321723854,-0.8244069078536086,0.1111111111111111,0,1
D3 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
D4 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
D4 LEMA,LEMA,1,8,0.0392156862745098,1.0726939237233355,3.396586123640746,-0.3042696989944294,0.0392156862745098,0,1
D4 PUPA,PUPA,14,8,1,1,0,NaN,1,0,1
D5 CHFU,CHFU,2,8,0.01639344262295082,0.9578045126035608,4.228403763591607,-0.2226398240599841,0.01639344262295082,0,1
D5 LEMA,LEMA,6,8,0.4,1.0875,0.810253304014656,-0.8485000882977755,0.4196078431372549,0.002183596820683029,0.997816403179317
D5 PUPA,PUPA,5,8,1,1.2599431818181819,0.3446254192306334,-0.7542774482465564,1,0,1
