Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,3,B5,LEMA,Lasioglossum_malachurum,Individual,59.333333333333336,2,2,6,8,0.008701770517886504,0.009391163771096202,0.8417818740399385,0.9999999999999999,4,4,-6.89393253209698e-4,0.9265912862331835
1,3,B5,LEMA,Malachius_bipustulatus,Individual,59.333333333333336,1,1,2,0,0.008701770517886504,0.009391163771096202,0.8417818740399385,0.9999999999999999,4,4,-6.89393253209698e-4,0.9265912862331835
1,3,B5,PUPA,Lasioglossum_malachurum,Individual,59,3,3,7,7,0.0028157555599182533,0.007218063626602614,0.13043478260869565,1,1,1,-0.00440230806668436,0.39009846761957245
1,3,B6,LEMA,Brassicogethes_sp,Individual,75,2,2,20,0,0.005725257309963368,0.007792986362280478,0.09608785175017158,1,2,2,-0.0020677290523171098,0.7346679493338641
1,3,B6,LEMA,Psilothrix_viridicoerulea,Individual,75,3,3,12,0,0.005725257309963368,0.007792986362280478,0.09608785175017158,1,2,2,-0.0020677290523171098,0.7346679493338641
1,3,C1,LEMA,Psilothrix_viridicoerulea,Individual,67,1,1,17,0,0.0024298228856405135,0.0028551663268573187,0.02127659574468085,1,1,1,-4.253434412168052e-4,0.8510267380167023
1,3,C2,LEMA,Anastoechus_sp,Individual,53,2,2,0,0,0.008867749643164762,0.010688708007017399,1.2860520094562649,0.9999999999999999,3,3,-0.0018209583638526365,0.829637186958692
1,3,C2,LEMA,Cassida_sp,Individual,53,1,1,0,0,0.008867749643164762,0.010688708007017399,1.2860520094562649,0.9999999999999999,3,3,-0.0018209583638526365,0.829637186958692
1,3,C2,LEMA,Psilothrix_viridicoerulea,Individual,53,3,3,17,0,0.008867749643164762,0.010688708007017399,1.2860520094562649,0.9999999999999999,3,3,-0.0018209583638526365,0.829637186958692
1,3,C3,CHFU,Curculionidae,Individual,13,1,1,0,0,0.010632408217958975,0.010560011960179378,1.0909090909090908,1,2,2,7.239625777959689e-5,1.0068556984644141
1,3,C3,CHFU,Ulidiidae,Individual,13,1,1,5,0,0.010632408217958975,0.010560011960179378,1.0909090909090908,1,2,2,7.239625777959689e-5,1.0068556984644141
1,3,C3,LEMA,Brassicogethes_sp,Individual,42,1,1,12,0,0.010798915794583306,0.012995098227463388,0.6488544628558355,1,4,4,-0.002196182432880082,0.8309991664211706
1,3,C3,LEMA,Lasioglossum_malachurum,Individual,42,3,3,6,8,0.010798915794583306,0.012995098227463388,0.6488544628558355,1,4,4,-0.002196182432880082,0.8309991664211706
1,3,C3,LEMA,Malachius_bipustulatus,Individual,42,1,1,2,0,0.010798915794583306,0.012995098227463388,0.6488544628558355,1,4,4,-0.002196182432880082,0.8309991664211706
1,3,C3,LEMA,Psilothrix_viridicoerulea,Individual,42,4,4,29,0,0.010798915794583306,0.012995098227463388,0.6488544628558355,1,4,4,-0.002196182432880082,0.8309991664211706
