Line,ID,Plot,Subplot,Plant_Simple,Visits_tot,homo_motif,hete_motif,Week
3,Odontomyia_sp.,8,C3,CHFU,1,1,8,12
3,Dilophus_sp.,8,C4,LEMA,2,5,9,12
3,Diptera,8,C6,CHFU,4,7,0,12
3,Dilophus_sp.,8,D1,LEMA,2,5,9,12
3,Psilothrix_viridicoerulea,8,D1,LEMA,1,8,0,12
3,Odontomyia_sp.,8,D2,LEMA,1,4,5,12
3,Calliphoridae,8,D5,CHFU,1,0,0,12
3,Dilophus_sp.,8,D5,CHFU,1,7,7,12
3,Diptera,8,E1,CHFU,4,7,0,12
3,Cantharidae,8,E2,ME,1,0,0,12
3,Andrena_cinerea,8,E4,CHFU,1,1,1,12
3,Dilophus_sp.,8,E4,CHFU,1,7,7,12
3,Andrena_cinerea,8,E6,ME,1,0,2,12
3,Psilothrix_viridicoerulea,9,B5,LEMA,1,8,0,12
3,Psilothrix_viridicoerulea,9,C4,LEMA,2,8,0,12
3,Lagorina_sericea,9,C5,LEMA,1,0,0,12
3,Melanostoma_sp.,9,C5,LEMA,1,1,0,12
3,Psilothrix_viridicoerulea,9,D2,LEMA,1,8,0,12
3,Sphaerophoria_scripta,9,D2,LEMA,1,1,0,12
3,Psilothrix_viridicoerulea,9,D3,LEMA,3,8,0,12
3,Meligethes_sp.,9,E2,LEMA,1,2,0,12
3,Sphaerophoria_scripta,9,E2,LEMA,1,1,0,12
3,Dilophus_sp.,9,F1,CHFU,1,7,7,12
3,Meligethes_sp.,9,F5,LEMA,1,2,0,12
3,Psilothrix_viridicoerulea,9,F5,LEMA,1,8,0,12
3,Psilothrix_viridicoerulea,9,F6,LEMA,1,8,0,12
1,Psilothrix_viridicoerulea,1,A1,LEMA,3,39,0,13
1,Odontomyia_sp.,1,A2,LEMA,1,5,0,13
1,Psilothrix_viridicoerulea,1,A2,LEMA,3,39,0,13
1,Anthaxia_semicuprea,1,A3,LEMA,1,1,0,13
1,Psilothrix_viridicoerulea,1,A3,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,1,A4,LEMA,2,39,0,13
1,Dilophus_sp.,1,A5,LEMA,1,2,0,13
1,Anthaxia_semicuprea,1,A6,LEMA,1,1,0,13
1,Odontomyia_sp.,1,A6,LEMA,1,5,0,13
1,Psilothrix_viridicoerulea,1,A6,LEMA,1,39,0,13
1,Odontomyia_sp.,1,B2,LEMA,1,5,0,13
1,Psilothrix_viridicoerulea,1,B2,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,1,C1,LEMA,1,39,0,13
1,Odontomyia_sp.,1,C3,LEMA,1,5,0,13
1,Psilothrix_viridicoerulea,1,C3,LEMA,1,39,0,13
1,Melyridae,1,C4,LEMA,2,1,0,13
1,Melyridae,1,D1,LEMA,2,1,0,13
1,Chrysomelidae,1,D3,LEMA,1,0,0,13
1,Dilophus_sp.,1,D3,LEMA,1,2,0,13
1,Mordellidae,1,D3,LEMA,1,2,0,13
1,Psilothrix_viridicoerulea,1,D3,LEMA,3,39,0,13
1,Mordellidae,1,D4,LEMA,1,2,0,13
1,Mordellidae,1,D5,LEMA,1,2,0,13
1,Odontomyia_sp.,1,D5,LEMA,1,5,0,13
1,Psilothrix_viridicoerulea,1,D5,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,1,E1,LEMA,3,39,0,13
1,Eupeodes_corollae,1,E3,LEMA,1,3,1,13
1,Odontomyia_sp.,1,E3,LEMA,1,5,0,13
1,Psilothrix_viridicoerulea,1,E3,LEMA,2,39,0,13
1,Psilothrix_viridicoerulea,1,E4,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,1,F5,LEMA,1,39,0,13
1,Nemotelus_sp.,2,A1,LEMA,1,0,1,13
1,Psilothrix_viridicoerulea,2,A1,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,2,A3,LEMA,1,39,0,13
1,Episyrphus_balteatus,2,A5,LEMA,1,0,0,13
1,Eupeodes_corollae,2,A5,ME,1,0,4,13
1,Psilothrix_viridicoerulea,2,B1,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,2,C3,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,2,C5,LEMA,1,39,0,13
1,Meligethes_sp.,2,C6,LEMA,1,8,0,13
1,Psilothrix_viridicoerulea,2,C6,LEMA,1,39,0,13
1,Eupeodes_corollae,2,D1,LEMA,1,3,1,13
1,Andrena_cinerea,2,D2,ME,1,0,2,13
1,Eupeodes_corollae,2,D6,LEMA,1,3,1,13
1,Nemotelus_sp.,2,E2,ME,1,0,1,13
1,Meligethes_sp.,2,E3,LEMA,1,8,0,13
1,Eupeodes_corollae,2,E6,LEMA,1,3,1,13
1,Meligethes_sp.,2,E6,LEMA,1,8,0,13
1,Psilothrix_viridicoerulea,2,E6,LEMA,4,39,0,13
1,Meligethes_sp.,2,F6,LEMA,3,8,0,13
1,Psilothrix_viridicoerulea,2,F6,LEMA,1,39,0,13
1,Dilophus_sp.,3,A1,LEMA,1,2,0,13
1,Psilothrix_viridicoerulea,3,A5,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,3,B1,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,3,B2,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,3,B3,LEMA,2,39,0,13
1,Psilothrix_viridicoerulea,3,B5,LEMA,2,39,0,13
1,Psilothrix_viridicoerulea,3,B6,LEMA,2,39,0,13
1,Psilothrix_viridicoerulea,3,C1,LEMA,2,39,0,13
1,Psilothrix_viridicoerulea,3,C5,LEMA,1,39,0,13
1,Meligethes_sp.,3,C6,LEMA,1,8,0,13
1,Psilothrix_viridicoerulea,3,C6,LEMA,3,39,0,13
1,Psilothrix_viridicoerulea,3,D1,LEMA,3,39,0,13
1,Psilothrix_viridicoerulea,3,D2,LEMA,1,39,0,13
1,Malachius_bipustulatus,3,D6,LEMA,1,0,0,13
1,Meligethes_sp.,3,E1,LEMA,1,8,0,13
1,Psilothrix_viridicoerulea,3,E1,LEMA,2,39,0,13
1,Meligethes_sp.,3,E3,LEMA,1,8,0,13
1,Diptera,3,E4,ME,1,0,0,13
1,Psilothrix_viridicoerulea,3,E5,LEMA,1,39,0,13
1,Meligethes_sp.,3,F1,LEMA,1,8,0,13
1,Psilothrix_viridicoerulea,3,F1,LEMA,2,39,0,13
1,Andrena_cinerea,3,F2,LEMA,1,1,1,13
1,Psilothrix_viridicoerulea,3,F2,LEMA,1,39,0,13
1,Meligethes_sp.,3,F4,LEMA,1,8,0,13
1,Psilothrix_viridicoerulea,3,F4,LEMA,2,39,0,13
1,Andrena_cinerea,3,F5,LEMA,1,1,1,13
1,Psilothrix_viridicoerulea,3,F5,LEMA,1,39,0,13
1,Psilothrix_viridicoerulea,3,F6,LEMA,1,39,0,13
2,Odontomyia_sp.,4,A2,LEMA,1,1,0,13
